comments,grades,times,areas
有时候会觉得日式小清新的这种风格会消解电影里展示的社会问题，看前半部分的时候觉得女主角哪里是什么从良小姐啊，分明是下凡来开解众生烦恼的女菩萨嘛。看到后半部分观感稍好了一点，觉得这大概也是一种日本电影的风格吧，用一种云淡风轻的无所谓姿态去看待自己无能为力的生活苦难。这类的电影就全看能不能恰好触动你的心弦。像《小森林》属于刚好在我北漂最迷茫的时候，在都市和家乡都找不到自己的归处，看《小森林》就很有共鸣，而这片讲述“无处安放的孤独”，于我此时的心绪就没那么强烈。中川雅也在《桃花期》里好像就是那种特别猥琐但又很懂女人的老头形象，这么多年演起来还是令人信服。你就是相信，如果是他的话，美女对他投怀送抱是说得通的。,,,
路上捡个老头，带回家给他洗澡😅😅😅,,,
做作了 没有感动到,,,
风俗风光片,,,
又名《女菩萨2：从良》参考影片《前科者》,,,
间接合理化、美化日本配酒小姐现象，忽视背后的原因、无奈和社会伤痛。千寻确实治愈了别人，也“洗白”了自己。剧情上碍于文化差异，个人是会有一些不适的地方。说到底都是日本电影也在给自己的社会搞“自圆其说”，尽力在确实存在且短时间无法改变的社会语境下做一些他们认为的“正能量”感化，也就是所谓的治愈吧。,,,
来自同一个星球的人 我总有一天会遇见他们 对吧？,,,
你们真的很喜欢妓女变圣女的故事，也是真的喜欢强调一个拥有“肮脏”身体的女人有多么美好而纯洁的灵魂。我把这种题材当做男性凝视下的巨婴想象。不刻意强调她的过去和职业，也不需要所谓的“治愈”，别矫情，正常一点可以吗？,,,
看起来清新愉快，并没有什么让人深思的东西。像是小偷家族的放大版，家庭不和睦大家族。,,,
今年的一个小惊喜。因为看这部电影的时候太适合搭配一罐啤酒了，所以会觉得选择上网飞、而没上院线是一件挺好的事情（虽说也遇到过不少在影院里喝啤酒的观众）。如果有人向我介绍一部影片的主角，是一个像幽灵一样的人，我一定会觉得这部影片和演员的表演是神神叨叨、附加很多矫情姿态的；不过这部作品，却可以把这样的人刻画得如此温暖、真实，还不失灵气与趣味，实在是很见功力，也可以说「千寻小姐」应该是近几年最让我记忆深刻的电影角色之一了。作为几乎部部作品不落的村花粉，我觉得她在这部影片中又实现了一种前所未有的突破，也许从来没有人用天赋型演员来形容她，但是能做到一直默默地努力与积累，就是一种极高的天赋。,,,
有点辜负了我的期待…很乏味…,,,
强行将性工作者塑造成天使也是一种俗不可耐,,,
日本好会拍，能感动这么多坏男人和蠢女人。一些用温情掩盖日本女性贫困现状的虚伪。以及所有同意卖淫合法的人在我看来都该下地狱。,,,
3.6星。最后的结尾，在便当店的工作经历覆盖了前一段的履历，重获新生了。,,,
设定果然很日本，边缘人治愈主流人，怪怪的活着挺好的,,,
剧情和人设都稍微有点刻意，观感没有预期里那么好，但还是有一些触动到我的地方，就还蛮喜欢这种悠闲中带着伤感的调调，今泉力哉把村花拍得很漂亮，继垫底辣妹之后久违的又被她美到,,,
意外的还行，喜欢女人吃小女孩做的寿司然后拉手手再见那幕 很平常的行为但绝对不会在现实发生的超现实感。虽然对日本那种沉浸式地自我感动式的表演从讨厌至无所谓了。btw，这片子把男的拍得都好矬，哈哈。结尾有点无聊，这种电影就应该戛然而止。非要再弄个好似“大团圆”似的结局有点无聊了。。,,,
,1,,
,3,,
,3,,
,3,,
,1,,
,3,,
,3,,
,4,,
,3,,
,3,,
,2,,
,3,,
,4,,
,3,,
,2,,
,1,,
,4,,
,5,,
,3,,
,3,,
,,2023-03-03 10:02:11,
,,2023-02-25 23:30:53,
,,2023-02-23 22:24:34,
,,2023-03-03 11:35:41,
,,2023-02-24 12:47:27,
,,2023-02-25 12:35:24,
,,2023-02-27 20:01:44,
,,2023-03-03 15:20:59,
,,2023-03-19 23:59:03,
,,2023-03-01 13:59:51,
,,2023-03-20 21:53:40,
,,2023-02-24 12:58:18,
,,2023-02-23 15:18:52,
,,2023-02-27 12:47:11,
,,北京,
,,2023-02-27 23:35:56,
,,2023-03-04 13:37:43,
,,2023-03-08 20:19:15,
,,2023-03-07 09:07:34,
,,2023-03-20 02:09:04,
,,,北京
,,,北京
,,,广东
,,,日本
,,,英国
,,,北京
,,,浙江
,,,北京
,,,广东
,,,北京
,,,山东
,,,浙江
,,,日本
,,,山东
,,,上海
,,,湖北
,,,江苏
,,,江苏
,,,安徽
属于日本的《鲸》。绝对孤独的人又一次拯救了所有人。,,,
最后的那句话，像是用便当店的身份洗掉了小姐的工作。千寻是个四处流浪的人呐。,,,
真好。今泉力哉这次不像侯麦，像瓦尔达，而海边小镇的故事舞台和清新的影像调性也不难让人想起是枝蓝色的那几部。但今泉好就好在对这个时代的人群的捕捉，就连其实演技早已被大众熟知的村花在他的作品里也有不一样的魅力（当然演员本身也付出了很大努力）。千寻小姐，不输给雨，不输给风，在无根的飘摇间，暗自践行着自己的生存哲学，教化着所有委曲在强权之下的同温层——这个角色理想又复杂，真的很难不让人喜欢。总之看完马上想看第二次，也很想玩牧场物语（？），整5星。,,,
没看过原作漫画，仅影片而言，我很喜欢。治愈是相互的，孤独感是不可能彻底消失的，但一切又是充满希望的。,,,
Netflix. 起手十分鐘已經忍不住眼淚office沒人差點嚎啕大哭 「我們都是住在人類身體中的外星人，我們都來自不同的星球，所以無法理解彼此是當然之事」 「不要害怕，夜晚可是我的夥伴啊」 孤寂的人總能一眼認出其他孤寂的人只需要一點點溫暖就能獲得救贖，只吃三文魚便當一旦有人關心就瘋狂傾倒自己人生的男人，探望便當店那位一輩子辛勤工作卻瞎了長期住院病人，被小學生圍攻的流浪老漢角落攤死，為了合群勉強自己去喜歡一些不太感興趣事物的女子高中生透過偷拍小區裡謎樣美女去消解無可言說的苦悶，典型日式放置缺失家庭中成長的頑皮小男孩，透過漫畫學世界的長缺同學，每一個坍塌的內心透過千尋桑為生活增添色彩，如同沙漠甘露逐漸連接成小小稱不上綠洲的水源，其中心的千尋桑也在渡過著陰鬱又陽光的半明半暗日子呢,,,
节奏稀释了情节，平淡到有些乏味，大部分时间都比较煎熬，但看到收尾段落还是有些感动。世界上散落着来自孤独星的人，他们隐藏在人的身体内，像浮萍一样聚散着，短暂的依偎过后再重回孤独。,,,
【C】有种女性版《横道世之介》的感觉，奉献自己，关怀他人，因为体会过孤独的无助，所以不想别人也遭遇同样的事。在某种意义上是和前者有异曲同工的，那就是都塑造了一个如“天使”一般的人物，她(他)们无私奉献、不求回报，有种想要消除众生苦难那样的人生方向，尽管她(他)们个体的力量渺小得微不足道，却依然愿意施以援手，去帮助那些正被黑暗笼罩的人们，即使燃烧自己也要点亮一丝微光，照亮快要迷失之人前进的方向，或许这道光会很微弱 暗淡，但只要还在就能让更多的人重拾生活的希望。 愿我们的人生中都能遇到“千寻小姐”和“横道世之介”这样的人，哪怕只是匆匆过客，也会在我们的人生中留下有一段永远难忘的记忆...,,,
古龙笔下七种武器：笑、信心、诚实、仇恨、戒骄、勇气、不放弃，漏了千寻小姐的孤独。。。她应对所有人的那份自如和自信是从娘胎里带的还是后天练的？厉害。有村架纯可以的。。。,,,
霓虹没救了，文化全面倒退，为什么风尘女不能中彩票发大财开始新生活？隔壁亚裔五十岁阿姨都开始拯救世界了，这边2023年还让受害者救加害者，用爱感化垃圾！好恶劣的性幻想，你们都去亖就是绿化世界了,,,
那种蔓延开来的孤独感很真实，仿佛是飘在生活之外。我们好像大部分时间都只能知道自己和谁一定不是住在一个星球的外星人，但是找不到住在一个星球的人。,,,
“我们都是住在人类身体里的外星人，来自不同的星球，难怪无法理解彼此。”孤独感是与生俱来的，但“总有一天会遇到来自同一个星球的人”。故事很松散，但有村架纯驾驭了日式的丧与治愈，每一个表情都很舒服。,,,
村花摄休加长版。今泉力哉拍这样的剧本太信手拈来了吧，但故事人设及里面的道理都有点过于漂浮了。,,,
23/2/2023 @ 新宿武藏野館。估唔到有村都做到果種看透世事又帶點飽歷風霜既感覺，可惜由中段開始無乜點用便當店去講故事，削弱左其中一樣我好鍾意漫畫原作既元素,,,
或许有的电影真的需要上一上年纪才能咂摸个中滋味——倒也不必太过倚老卖老年过三十略有些感触即可——那种一个人不知是忍受还是享受甚至逆来顺受所谓“孤独”的处境与心境——莫名其妙就倾轧而来的“生”的压力与“活”的疲累不停在脑海席卷起汹涌的情绪巨浪——于震耳欲聋间寻隙沉默或在凌乱狼藉中与世隔绝来试图找回“存在”的本质——那“千寻”可解释为寻找一千种填补空白灵魂的办法里那个最优解——大概就是极力奉献自己的良善去消弭别人的苦难吧。,,,
3.9 因循聚散。不能磨灭的孤独感。新的连接能赋予新生。,,,
经典日本漫改拍法 主要看点是村花的性感睡衣（× 另外网飞的官方中字很差,,,
今泉的原创作品一向以文学性见长，擅于勾勒群像关系在一定的地域、时空、城建内的交互，捕捉自然情绪流与漂浮不定的独感。像这种框架既定的漫改则太限发挥，成品宛如每年量产的日式流水治愈片，人物间的互动始终透着悬浮。女主更像男权凝视下臆想的圣女，燃烧自我奉献他人，就算强拉孤独当人生底色，呈现给人的感觉依旧空心。有村架纯顶多算能把角色特质演绎出60%的努力型选手，但其演技绝对没达到能称优秀两个字的程度，日本90那拨没混出头的大把，只能说她事业心比较稳固。,,,
像是另一种形式的《小偷家族》，人与人有的时候即使是面对面，但是心意却也不能相通，能遇见和自己是相同星球的人当然会是很幸福的一件事情。千寻也许一直都会是一个人，但是对于其他人却是他们自己星球的同类。村花演的看起来真舒服，令人如沐春风。,,,
一部小片子，却包含了这个独特星球的女人，从风俗店到金鱼店，到便当店再到奶牛场的人生。即使孤独，她也给别人送去了很多温暖，比如来自单亲家庭的小城，来自压抑家庭的女中学生，流浪汉“师父”，爱和师父一起看漫画的女中学生，眼睛失明的便当店老板娘。真是应了：特别关心别人的人，正是因为内在极度孤独啊。特别爱看直播吃饭视频的人，也永远不能享受自己眼前美餐。,,,
女性没必要去拯救一些没用的男人，更没必要原谅老鸨这种加害者还把他当父亲…好蠢，不要当圣母，先自爱自强吧,,,
,3,,
,4,,
,5,,
,4,,
,4,,
,3,,
,3,,
,4,,
,1,,
,3,,
,3,,
,3,,
,3,,
,4,,
,comment-time ,,
,3,,
,3,,
,4,,
,4,,
,1,,
,,2023-03-02 00:08:43,
,,2023-03-13 22:17:07,
,,2023-03-08 03:08:25,
,,2023-02-24 00:24:11,
,,2023-03-07 09:23:34,
,,2023-02-26 11:11:31,
,,2023-02-28 18:41:38,
,,2023-03-06 19:11:31,
,,2023-02-24 02:29:43,
,,2023-03-20 10:39:18,
,,2023-02-27 05:44:24,
,,2023-02-24 23:32:33,
,,2023-03-06 02:36:36,
,,2023-03-08 13:57:21,
,,2023-02-24 22:33:31,
,,2023-02-25 01:07:46,
,,2023-03-07 21:31:49,
,,2023-02-27 22:57:09,
,,2023-03-22 08:38:09,
,,2023-03-01 06:49:18,
,,,北京
,,,河北
,,,福建
,,,浙江
,,,江苏
,,,浙江
,,,新加坡
,,,福建
,,,广东
,,,浙江
,,,英国
,,,上海
,,,浙江
,,,吉林
,,,浙江
,,,天津
,,,北京
,,,北京
,,,江苏
,,,安徽
有村妹子演的真好啊,,,
千万里我寻找你,,,
《女人们的谈话》不及预期，《千寻小姐》观感倒还不错：1.在现实生活中，妓女对于某些人来说就是一种赚钱为生的“工作”，并没有世俗观念里想的那么龌龊；2.不先报警而是直接把突然去世的流浪汉掩埋了，日后尸体被别人意外发现不知会怎样？3.与家人断绝关系，即使突然联系上得知母亲逝世也不打算回去参加丧礼；4.自己的好心举动在别人眼里可能变成坏意；5.人生路上，各站停靠；…… -17038,,,
能那样享受食物的不会是坏人,,,
这部影片对“陌生人”给予了全新的诠释，因为陌生，我们可在在彼此面前重新塑造自己；因为陌生，我们不需要对对方有心理防备；因为陌生，我们甚至不需要跟对方认真离别……因为我们终归会重新回到熟悉的人身边，但是千寻好像只有陌生人。,,,
在一个阳光明媚的早晨看到热泪盈眶。在我的理解中，电影探讨的主题是，人和人之间是否有相互理解的可能性。“我们都是住在人类身体里的外星人”，在一个不适合的环境里生存，在地球上徒劳地寻找同类。流浪汉，失明者，卑微的女儿，独来独往的学生，跨性别者，被忽视的孩子，酒馆的男人，这个世界上七零八落着不被理解的灵魂。千寻作为主角，串起了这些故事，她发现了这些失落的外星人，再一个又一个拾起他们碎裂的心。千寻也曾是一个淋雨的人，也曾在雨中得到过另一些灵魂的拥抱，所以现在带着别人在雨中出逃。好喜欢电影里的这些角色，他们都有着孤独却生动的灵魂。以及以及，喜欢这部电影的人，我们大概来自同一个星球～,,,
我将通称此类日影为孤芳自赏的贞节牌坊,,,
还行吧 就是有点做作 接近圣母（？）,,,
翻译错误好多，关于醉的那部分台词也没翻好，有点影响理解最后离开的原因。就像不擅长喝酒一样不擅长不孤独的生活，快乐过头的话，会因这种沉醉感到害怕。代代继承的千寻称号，真不错。除去日式鸡汤的部分，孤独的部分和相遇的部分很喜欢。,,,
下贱的v人,,,
日本量产电影。,,,
人生的中场休息，一个疲惫女孩的自我重建。影片建立了七段人物关系，远观是一个海港小城的女性友好同温层，近看其实是千寻为自己选择和重建的家人与家庭，这里有父亲、母亲，也有朋友、弟弟妹妹，甚至“不需要恋爱”的男友，这也成为全片最大的优点，即完全从女性视角出发构建的强调女性自我感受的生态圈。但有村架纯和今泉力哉，太想拍出女主千寻的“深不可测”，反而过犹不及，千寻这个角色很明确地指向那些生活中城府深又心灵纯洁的人物，可有村架纯的演绎始终是一副“比你多想一步”的样子，但实际上编导并没有在戏里给出这“一步”到底是什么，自我建立起“家庭”再分离，片中也并未给出这样做的意义何在，最大的问题是人物关系看似繁多，但由于每条线都处理的不温不火，实际生活勾连感很弱，最后反而滑向了一种孤芳自赏的造作。,,,
某种层面的“浊水漂流”。千寻走在霓虹空荡荡的街道上，仿佛宇宙中只有她一人。,,,
今泉力哉又放大招了！前半程非常治愈，千寻小姐的性格设定与村花之独特气质恰到好处的搭。后半段节奏略显拉胯情绪却不失控，没有说教呐喊与人生和解的老套噱头反而上演了一出云淡风轻的疗愈大戏。画面鲜明对白考究，人物架构合理美感十足。原来来自陌生人的心灵慰藉也可以感染力如此之强。希望从今天起我们都能做个如千寻般温暖善良之人，哪怕你给予的关怀可以影响到一个人也好。,,,
3.5，迟滞的情感表达，看哭了。,,,
（6.5/10）村花这角色就是个柔和版乔治·贝利或者真人版大白吧（我指皮克斯的那个正经大白，不是另外一群家伙）。我不知道日本当代电影里这种角色众多、对抗性极弱且充满inner peace的题材有没有专门的分类。它们也许艺术成分没有三四层楼那么高，但亲切得能让你平视乃至拥抱。日本电影史中我只看过小津类似，只是小津要悲悯得多。我以前说过侯麦的电影展现了天堂的一种模样，就是角色唯一的烦恼来自人性固有的缺陷。而这类祥和的日本电影展现了天堂的另一种模样，就是平静地接受人世的一切。前面看到村花背上的刀伤，瞬间用好莱坞的思维脑补了随后追杀而至的渣男，最终还是我太亢奋了，要平静，好好听雨、好好捏饭团、好好剥橡子、好好享受简单的便当、好好对每一头黑毛和牛说“我开动啦”——不是，好好说“早上好”才对。,,,
粼粼波光的海面泛着金色涟漪，晴天无云的街道上行人匆匆走过，水槽里的金鱼摇曳身姿吐着泡泡。一个不被世俗所包容的女孩却治愈了身边很多人。,,,
整部电影就像千寻一样缓慢轻柔地在城市里偶遇 “来自同一个星球” 的人后再飘流再相遇以此循环。为什么要独占别人的心和被别人独占？开阔内心和思维才能获得真正的快乐和享受独处与陌生人暂时的情感连接的无限乐趣。要珍惜那些吃饭不剩饭尊重享受食物的、帮助流浪老人的，救助小昆虫的人，这些人在当今正在濒临灭绝。,,,
池子里鱼儿，孤独地吮吸着氧气，只有那丝光亮支撑着我们活下去的勇气 每个人都是住在人类身体里的外星人，在孤独的旅程中寻找同类。 星星发亮是为了让每一个人都能找到属于自己的星星。 千寻就是那个来自B612星球的小王子，温暖别人，照亮远方。 过于温暖的日系治愈剧，调色过头太过惨白，基本没有音乐，节奏和时长也就太过缓慢了！ 这不是村姑，简直就是圣姑！,,,
喜欢,,,
,4,,
,3,,
,4,,
,3,,
,3,,
,5,,
,1,,
,3,,
,4,,
,1,,
,3,,
,2,,
,3,,
,3,,
,4,,
,4,,
,3,,
,5,,
,3,,
,4,,
,,2023-03-09 01:08:58,
,,2023-02-28 16:16:25,
,,2023-02-24 00:49:55,
,,2023-03-20 00:00:09,
,,2023-03-17 16:03:20,
,,2023-03-19 21:29:24,
,,2023-03-19 22:43:49,
,,2023-03-01 21:52:57,
,,2023-03-03 16:29:54,
,,2023-03-24 23:00:05,
,,2023-03-02 00:56:35,
,,2023-03-05 23:12:38,
,,2023-02-26 00:37:07,
,,2023-02-26 13:42:44,
,,2023-02-28 22:06:27,
,,2023-02-25 18:15:31,
,,2023-02-26 02:54:23,
,,2023-03-06 21:16:38,
,,山东,
,,2023-02-26 00:31:15,
,,,云南
,,,上海
,,,山东
,,,安徽
,,,上海
,,,德国
,,,河北
,,,江苏
,,,上海
,,,陕西
,,,上海
,,,广东
,,,北京
,,,浙江
,,,日本
,,,北京
,,,陕西
,,,北京
,,,北京
情节拖沓，风俗女主太过个性……,,,
如今的村花是能将一个平庸的本子提升很多档次的，那不着痕迹的表演最为自然。在她一人身上的光环太强烈了，会忘记了今泉监督以及叙事的存在。3.8,,,
虽然跳出了今泉力哉擅长的多角恋题材，但内核还是生活中的那份偶然，村花就像深夜食堂的老板在治愈各式各样的人，而她自己的经历又有几分神秘，在她的影响下，其他人之间也产生了正向的互动，所以平时遇到同个星球的人时一定要多多散发善意，最后村花真是愈发的甜了。,,,
3.3分。,,,
村花演得真好 或者说她本身具有这个人物的内核 上一个把大家连结在一起然后悄悄消失的是横道世之介吗,,,
某些人梦想中的圣娼,,,
从良村花：表面波澜不惊，内心却在对抗全世界。,,,
每个人心里都住着一个外星人，在地球上孤独地寻找着自己的同乡。家庭，团体，亲密关系，处处都有碰撞，弱小者压抑、痛苦，倒不是因为不够坚强，而是更敏感、更有顾虑。,,,
确实琢磨不透千寻小姐，但是给人感觉既孤独又清爽，就像来自不同的星球，从事特殊职业带给她的是不同的看待人和事物的方式，曾被他人温柔对待，也始终愿意温暖对待他人。家庭环境压抑的女高中生，沉默的拾荒老人，知错能改的熊孩子，以及仿佛她母亲般失明的多惠。以及像她父亲的前风俗店店长，米娜桑都被千寻周遭温和的空气、以及处事不惊的性格所感染。离开了便当屋来到了农场，又可以开始自己新的生活。懂得随时入世又可以随时抽身，心怀感激和善良，遇到的人也都不会差。,,,
距离横道世之介可能还是差那么几层意思。,,,
很喜欢在拆迁楼里宇部千夏讨论漫画的那段，还有第一次提到每个人都是来自外星球的那段，千寻在神社那吃着寿司卷的那段很感人，尤其是想去握又不敢握的那段。不过还是更想看完全由今泉个人编剧的“爱而不得的群像剧”电影。漫画阵容很豪华啊，全是名作啊喂：大橋裕之 高橋留美子 つげ義春 等等，啊，真的很喜欢宇部千夏这个角色！,,,
3.5，蛮舒服的,,,
